ISRC,UPC,track_name,album_name,artist_name,country,platform,report_month,streams,revenue,currency
INN892400403,8909225424276,Dil Ne Hai Tujhko Chuna,Dil Ne Hai Tujhko Chuna,Abhilekh Bikash  Rahil Ahmed,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892500069,8909225949809,Bholenath,Bholenath,Abhilekh Bikash  Nishan Kumar  Rahil Ahmed,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400312,8909154021263,Saadgi Teri,Saadgi Teri,Amruta Kondejkar,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400343,8909154449210,Ram Ke Dar Pe Aaya Hoon Mein,Ram Ke Dar Pe Aaya Hoon Mein,Neeraj Sharma,IN,JioSaavn,01-06-2025,4,0.187,INR
INN892400389,8909225164103,Unmona Hiya,Unmona Hiya,Ankur Kashyap Music  Ujjal Gogoi,IN,JioSaavn,01-06-2025,17,0.79475,INR
INN892400415,8909225457885,Lita Lita Ailita,Lita Lita Ailita,Ailita Kashyap,IN,JioSaavn,01-06-2025,120,5.493125,INR
INN892400109,8909040995050,TERE JANE KE BAAD,TERE JANE KE BAAD,Fearless,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892300005,8905778765088,Koneng,Koneng,Sandhan Thengal,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892200223,8905778536596,Amdali,Amdali,Diganta Dixit  Enthrone,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300251,8905992092342,Tumi Janu Buja (Slowed Reverb),Tumi Janu Buja (Slowed Reverb),Dadul  Enthrone,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300290,8905992277770,Ragini,Ragini,Bishwa Bornil  Enthrone,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300302,8905992333599,Abhimani Morom,Abhimani Morom,Enthrone  Kritimoy  Ranamit Sarma  Rishi Raj Phukan,IN,JioSaavn,01-06-2025,8,0.65008745,INR
INN892300288,8905992248381,Mondakini,Mondakini,Dadul  Enthrone,IN,JioSaavn,01-06-2025,2,0.36958745,INR
INN892300250,8905992092335,Kamini,Mysterious,Enthrone,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300249,8905992092335,Moloya,Mysterious,Enthrone,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300252,8905992092359,Sorry,Sorry,Debabrata Gogoi  Enthrone,IN,JioSaavn,01-06-2025,12,0.97513117,INR
INN892400337,8909154407371,XUNA NA,XUNA NA,ARCHISH  karandx,IN,JioSaavn,01-06-2025,5,0.210375,INR
INN892300399,8909040107910,Premor Sithi,Parijat,Chaitanya Medhi,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400017,8909040688990,Nilim Xopun,Nilim Xopun,Sudipta Saikia,IN,JioSaavn,01-06-2025,9,0.56187327,INR
INN892300365,8905992810854,Tu Bhi Pyar Kare,Tu Bhi Pyar Kare,Amaan Khann,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300132,8905900337886,Lalungoni,Lalungoni,Hirasmita Das,IN,JioSaavn,01-06-2025,2,0.0935,INR
